,temp,atemp,humidity,windspeed
247,6.56,7.575,86,15.0013
248,6.56,7.575,86,15.0013
249,6.56,9.09,93,7.0015
250,6.56,11.365,93,0.0
251,6.56,7.575,93,12.998
252,6.56,9.85,86,6.0032
253,6.56,9.09,93,7.0015
254,6.56,9.85,93,6.0032
255,6.56,9.85,86,6.0032
256,6.56,9.09,86,7.0015
257,5.74,7.575,86,8.9981
258,5.74,7.575,86,11.0014
259,4.92,7.575,93,8.9981
260,5.74,7.575,69,8.9981
261,6.56,8.335,59,11.0014
262,6.56,6.82,59,22.0028
263,7.38,9.09,55,15.0013
264,8.2,9.09,51,26.0027
265,8.2,7.575,47,39.0007
266,9.02,9.85,44,23.9994
267,8.2,9.09,47,22.0028
268,8.2,8.335,47,27.9993
269,9.02,9.85,44,22.0028
270,8.2,9.09,47,23.9994
271,8.2,7.575,47,35.0008
272,7.38,7.575,47,27.9993
273,6.56,6.82,50,22.0028
274,6.56,6.82,55,22.0028
275,6.56,6.06,55,30.0026
276,5.74,5.305,59,27.9993
277,5.74,6.06,59,19.0012
278,5.74,6.06,50,19.0012
279,5.74,6.06,50,23.9994
280,5.74,6.06,50,22.0028
281,5.74,6.06,50,16.9979
282,5.74,6.06,50,19.9995
283,4.92,7.575,54,8.9981
284,4.92,7.575,54,8.9981
285,5.74,6.82,50,12.998
286,5.74,6.06,50,22.0028
287,6.56,6.82,50,23.9994
288,8.2,8.335,44,30.0026
289,8.2,8.335,44,27.9993
290,9.02,9.85,41,30.0026
291,9.02,9.85,41,26.0027
292,9.84,10.605,38,19.9995
293,9.84,10.605,38,23.9994
294,8.2,9.09,40,19.0012
295,8.2,9.09,40,22.0028
296,6.56,7.575,47,16.9979
297,6.56,7.575,47,15.0013
298,5.74,6.06,46,19.9995
299,5.74,6.06,46,22.0028
300,4.92,6.82,50,12.998
301,4.92,6.82,50,12.998
302,4.1,6.06,54,11.0014
303,4.1,6.06,54,8.9981
304,4.1,6.82,54,7.0015
305,4.1,6.82,54,6.0032
306,4.1,9.09,54,0.0
307,4.1,6.06,74,11.0014
308,4.92,8.335,68,0.0
309,5.74,7.575,69,8.9981
310,7.38,9.09,55,12.998
311,7.38,8.335,51,19.0012
312,8.2,9.85,44,16.9979
313,9.02,9.85,37,26.0027
314,9.02,10.605,41,19.0012
315,9.84,12.12,38,11.0014
316,9.02,12.12,41,7.0015
317,9.02,11.365,41,11.0014
318,8.2,12.88,47,0.0
319,6.56,9.85,59,6.0032
320,7.38,12.12,59,0.0
321,6.56,11.365,69,0.0
322,6.56,11.365,69,0.0
323,7.38,12.12,55,0.0
324,7.38,12.12,55,0.0
325,6.56,9.85,59,6.0032
326,6.56,9.85,59,6.0032
327,6.56,11.365,59,0.0
328,6.56,11.365,59,0.0
329,6.56,11.365,59,0.0
330,5.74,8.335,63,7.0015
331,5.74,10.605,63,0.0
332,5.74,7.575,63,8.9981
333,6.56,9.09,64,8.9981
334,7.38,9.85,59,11.0014
335,8.2,9.85,55,15.0013
336,9.84,11.365,48,15.0013
337,11.48,12.88,38,19.9995
338,12.3,14.395,39,19.0012
339,13.12,15.91,36,12.998
340,13.94,16.665,34,12.998
341,13.12,15.15,36,19.0012
342,12.3,14.395,45,16.9979
343,13.12,15.15,39,16.9979
344,13.12,15.15,39,16.9979
345,13.12,15.15,39,15.0013
346,12.3,15.91,42,7.0015
347,12.3,14.395,45,19.0012
348,10.66,15.15,56,0.0
349,10.66,13.635,56,8.9981
350,10.66,14.395,56,6.0032
351,9.02,13.635,69,0.0
352,10.66,12.88,56,11.0014
353,10.66,12.88,56,11.0014
354,10.66,12.88,56,11.0014
355,9.84,10.605,56,19.9995
356,9.02,10.605,55,19.0012
357,9.02,10.605,51,16.9979
358,9.02,10.605,51,19.0012
359,9.84,11.365,44,16.9979
360,9.84,10.605,41,19.0012
361,10.66,11.365,35,19.9995
362,11.48,13.635,36,16.9979
363,10.66,12.12,38,16.9979
364,9.84,11.365,38,15.0013
365,9.02,10.605,37,16.9979
366,8.2,10.605,40,11.0014
367,7.38,9.85,47,8.9981
368,7.38,9.85,47,11.0014
369,7.38,9.85,51,11.0014
370,8.2,10.605,49,8.9981
371,8.2,11.365,40,7.0015
372,8.2,9.85,47,15.0013
373,8.2,9.85,44,12.998
374,7.38,8.335,43,16.9979
375,7.38,9.09,43,12.998
376,7.38,9.85,43,8.9981
377,7.38,9.85,43,11.0014
378,7.38,9.09,43,12.998
379,6.56,9.09,50,8.9981
380,6.56,7.575,47,15.0013
381,6.56,7.575,47,15.0013
382,6.56,7.575,50,16.9979
383,6.56,7.575,55,12.998
384,7.38,9.85,47,8.9981
385,7.38,9.85,47,8.9981
386,7.38,10.605,43,7.0015
387,8.2,10.605,47,11.0014
388,8.2,10.605,47,11.0014
389,8.2,9.85,51,12.998
390,7.38,8.335,55,16.9979
391,7.38,9.09,59,12.998
392,6.56,7.575,80,12.998
393,6.56,7.575,80,12.998
394,5.74,6.06,93,16.9979
395,6.56,6.82,86,19.0012
396,8.2,9.09,86,22.0028
397,8.2,9.85,86,15.0013
398,9.02,11.365,80,11.0014
399,9.02,11.365,87,11.0014
400,9.02,11.365,87,12.998
401,9.02,11.365,82,12.998
402,9.02,11.365,80,11.0014
403,9.02,11.365,80,8.9981
404,9.02,13.635,87,0.0
405,9.02,12.12,93,7.0015
406,9.02,12.88,93,6.0032
407,9.02,13.635,93,0.0
408,9.02,13.635,93,0.0
409,9.02,11.365,93,8.9981
410,9.02,11.365,93,8.9981
411,9.02,11.365,93,8.9981
412,9.02,12.88,93,6.0032
413,9.02,12.88,93,6.0032
414,9.84,12.88,92,7.0015
415,9.84,12.88,93,7.0015
416,9.84,12.88,93,7.0015
417,10.66,13.635,93,8.9981
418,11.48,15.15,87,6.0032
419,12.3,15.91,81,6.0032
420,16.4,20.455,62,19.0012
421,16.4,20.455,58,16.9979
422,16.4,20.455,54,19.0012
423,15.58,19.695,58,26.0027
424,14.76,16.665,57,22.0028
425,13.94,15.91,61,19.0012
426,13.12,14.395,57,27.9993
427,13.12,15.15,49,19.9995
428,13.12,14.395,49,27.9993
429,12.3,15.15,52,11.0014
430,12.3,13.635,52,31.0009
431,6.56,9.09,64,7.0015
432,6.56,9.09,69,7.0015
433,6.56,11.365,69,0.0
434,6.56,11.365,69,0.0
435,5.74,10.605,93,0.0
436,5.74,10.605,93,0.0
437,6.56,11.365,93,0.0
438,6.56,11.365,93,0.0
439,6.56,11.365,93,0.0
440,6.56,11.365,93,0.0
441,7.38,12.12,86,0.0
442,8.2,12.88,86,0.0
443,8.2,12.88,86,0.0
444,9.02,12.88,80,6.0032
445,9.84,14.395,75,0.0
446,9.84,12.12,75,8.9981
447,9.84,14.395,75,0.0
448,9.84,12.88,81,7.0015
449,9.84,12.12,81,8.9981
450,9.02,11.365,87,8.9981
451,9.02,11.365,87,8.9981
452,9.02,12.88,87,6.0032
453,8.2,9.85,93,12.998
454,9.02,12.12,93,7.0015
455,9.02,11.365,93,12.998
456,9.02,11.365,93,8.9981
457,9.02,11.365,93,8.9981
458,9.02,10.605,93,19.0012
459,9.02,12.12,93,7.0015
460,9.02,12.12,93,7.0015
461,9.02,10.605,93,15.0013
462,9.02,10.605,93,15.0013
463,9.84,12.88,93,6.0032
464,9.02,13.635,100,0.0
465,9.84,11.365,93,12.998
466,9.84,11.365,93,15.0013
467,13.94,16.665,93,11.0014
468,15.58,19.695,82,26.0027
469,15.58,19.695,76,22.0028
470,14.76,16.665,71,19.9995
471,14.76,15.91,53,35.0008
472,13.94,14.395,42,36.9974
473,11.48,12.12,45,32.9975
474,9.84,9.85,48,36.9974
475,9.02,9.85,47,22.0028
476,9.02,10.605,44,16.9979
477,8.2,8.335,44,30.0026
478,8.2,8.335,40,30.0026
479,8.2,7.575,44,35.0008
480,7.38,8.335,43,16.9979
481,7.38,8.335,43,16.9979
482,6.56,6.82,50,19.9995
483,6.56,6.82,43,23.9994
484,5.74,6.06,50,22.0028
485,5.74,6.06,50,23.9994
486,6.56,6.82,47,19.9995
487,7.38,7.575,43,22.0028
488,7.38,6.82,43,30.0026
489,8.2,9.09,40,23.9994
490,8.2,8.335,40,27.9993
491,9.02,9.85,37,26.0027
492,9.02,9.85,37,22.0028
493,9.02,10.605,37,16.9979
494,8.2,9.85,40,12.998
495,8.2,10.605,40,11.0014
496,8.2,12.88,40,0.0
497,8.2,11.365,47,6.0032
498,7.38,10.605,55,7.0015
499,7.38,10.605,51,6.0032
500,8.2,11.365,47,7.0015
501,8.2,12.88,44,0.0
502,6.56,11.365,59,0.0
503,5.74,8.335,63,7.0015
504,5.74,8.335,63,7.0015
505,5.74,7.575,63,8.9981
506,6.56,11.365,55,0.0
507,5.74,10.605,59,0.0
508,5.74,7.575,74,8.9981
509,6.56,9.09,80,8.9981
510,8.2,10.605,51,8.9981
511,9.02,11.365,51,11.0014
512,9.84,12.12,48,11.0014
513,10.66,12.88,50,15.0013
514,11.48,13.635,45,11.0014
515,11.48,13.635,48,16.9979
516,12.3,14.395,42,15.0013
517,10.66,13.635,56,8.9981
518,9.84,12.88,60,7.0015
519,9.84,12.12,65,8.9981
520,9.84,12.12,65,11.0014
521,9.84,12.12,70,11.0014
522,9.84,12.12,65,11.0014
523,9.84,12.12,70,8.9981
524,9.84,12.12,70,11.0014
525,9.84,12.12,65,11.0014
526,9.84,12.12,75,11.0014
527,9.84,12.12,75,11.0014
528,9.02,11.365,93,8.9981
529,8.2,11.365,100,6.0032
530,8.2,12.88,100,0.0
531,9.02,12.88,93,6.0032
532,8.2,11.365,100,6.0032
533,8.2,11.365,100,6.0032
534,8.2,10.605,100,8.9981
535,9.02,11.365,100,8.9981
536,9.02,11.365,100,11.0014
537,9.02,11.365,100,11.0014
538,9.02,13.635,100,0.0
539,9.02,13.635,100,0.0
540,9.02,11.365,100,8.9981
541,9.84,10.605,100,19.0012
542,11.48,12.12,93,30.0026
543,11.48,12.12,93,30.0026
544,12.3,14.395,87,16.9979
545,10.66,12.88,100,12.998
546,10.66,13.635,93,8.9981
547,10.66,12.88,93,15.0013
548,10.66,12.88,70,12.998
549,10.66,11.365,65,27.9993
550,10.66,11.365,60,22.0028
551,10.66,14.395,60,6.0032
552,10.66,11.365,60,23.9994
553,10.66,12.88,60,15.0013
554,10.66,12.88,60,15.0013
555,9.84,12.12,65,11.0014
556,9.84,12.88,65,7.0015
557,11.48,14.395,56,7.0015
558,12.3,14.395,52,16.9979
559,13.12,15.15,49,16.9979
560,13.94,16.665,46,0.0
561,13.94,18.18,46,0.0
562,13.94,17.425,46,6.0032
563,13.94,17.425,46,6.0032
564,13.94,17.425,49,7.0015
565,13.94,18.18,46,0.0
566,12.3,15.15,56,11.0014
567,11.48,14.395,61,8.9981
568,11.48,14.395,61,7.0015
569,10.66,15.15,60,0.0
570,10.66,15.15,60,0.0
571,9.84,14.395,65,0.0
572,9.84,14.395,65,0.0
573,9.02,13.635,75,0.0
574,8.2,12.88,80,0.0
575,8.2,12.88,86,0.0
576,8.2,12.88,86,0.0
577,8.2,12.88,86,0.0
578,7.38,12.12,93,0.0
579,7.38,12.12,86,0.0
580,6.56,11.365,100,0.0
581,9.02,13.635,80,0.0
582,9.84,12.88,75,7.0015
583,12.3,15.91,65,6.0032
584,13.12,17.425,62,0.0
585,14.76,18.18,57,6.0032
586,14.76,18.18,57,6.0032
587,15.58,19.695,54,6.0032
588,14.76,17.425,57,8.9981
589,13.12,15.91,70,11.0014
590,13.94,16.665,66,8.9981
591,13.12,17.425,70,0.0
592,13.12,16.665,70,7.0015
593,13.12,17.425,70,0.0
594,11.48,15.15,81,6.0032
595,12.3,16.665,81,0.0
596,11.48,15.91,87,0.0
597,11.48,15.91,87,0.0
598,10.66,13.635,93,7.0015
599,11.48,13.635,93,11.0014
600,10.66,12.88,93,11.0014
601,10.66,11.365,81,22.0028
602,10.66,11.365,70,22.0028
603,9.84,9.85,65,27.9993
604,9.84,9.85,56,32.9975
605,9.84,9.85,52,32.9975
606,9.02,9.09,47,36.9974
607,9.02,9.09,47,31.0009
608,9.84,9.85,38,32.9975
609,9.84,9.85,32,30.0026
610,9.02,9.85,37,27.9993
611,9.02,9.85,35,26.0027
612,9.02,9.09,35,35.0008
613,9.02,9.09,32,39.0007
614,8.2,9.09,32,26.0027
615,6.56,6.06,40,31.0009
616,6.56,6.82,40,22.0028
617,5.74,5.305,33,31.0009
618,4.92,5.305,33,23.9994
619,4.92,5.305,33,22.0028
620,4.1,3.79,36,23.9994
621,4.1,5.305,36,15.0013
622,3.28,3.79,38,19.0012
623,2.46,3.79,45,8.9981
624,2.46,5.305,45,7.0015
625,2.46,7.575,45,0.0
626,2.46,5.305,49,7.0015
627,4.1,6.82,42,0.0
628,4.92,6.82,39,11.0014
629,5.74,9.09,36,0.0
630,5.74,7.575,43,11.0014
631,7.38,9.09,40,15.0013
632,7.38,8.335,40,16.9979
633,8.2,9.09,34,19.9995
634,8.2,9.09,34,19.0012
635,8.2,9.85,37,16.9979
636,8.2,9.85,34,16.9979
637,7.38,8.335,47,19.9995
638,5.74,6.06,86,16.9979
639,5.74,7.575,86,11.0014
640,5.74,7.575,86,11.0014
641,6.56,8.335,80,11.0014
642,6.56,7.575,80,12.998
643,5.74,6.82,86,12.998
644,5.74,7.575,80,8.9981
645,5.74,7.575,80,8.9981
646,5.74,6.82,59,15.0013
647,4.92,6.06,50,15.0013
648,4.92,6.06,54,19.0012
649,4.1,3.79,50,27.9993
650,4.1,3.79,49,22.0028
651,4.92,5.305,42,23.9994
652,4.92,5.305,42,19.9995
653,5.74,6.06,39,23.9994
654,6.56,6.82,34,26.0027
655,7.38,8.335,29,19.9995
656,8.2,9.09,27,19.0012
657,8.2,9.85,25,16.9979
658,8.2,9.09,27,19.9995
659,7.38,9.09,26,12.998
660,6.56,9.09,28,8.9981
661,5.74,8.335,28,7.0015
662,5.74,9.09,31,6.0032
663,5.74,10.605,39,0.0
664,4.92,9.85,39,0.0
665,4.92,7.575,42,7.0015
666,4.1,6.82,49,7.0015
667,4.1,6.82,54,6.0032
668,4.1,6.82,54,6.0032
669,3.28,6.06,63,6.0032
670,4.1,9.09,68,0.0
671,3.28,8.335,73,0.0
672,4.1,6.06,74,11.0014
673,4.92,6.06,74,15.0013
674,5.74,6.82,69,12.998
675,9.02,11.365,47,8.9981
676,9.02,11.365,47,8.9981
677,9.84,11.365,35,12.998
678,12.3,14.395,26,16.9979
679,13.12,15.91,21,11.0014
680,12.3,14.395,28,12.998
681,12.3,16.665,24,0.0
682,11.48,15.91,28,0.0
683,10.66,15.15,33,0.0
684,9.02,11.365,55,8.9981
685,8.2,10.605,59,8.9981
686,8.2,11.365,64,6.0032
687,7.38,12.12,69,0.0
688,6.56,9.85,69,6.0032
689,5.74,10.605,86,0.0
690,5.74,10.605,80,0.0
691,4.92,9.85,80,0.0
692,4.92,8.335,74,6.0032
693,4.92,8.335,74,6.0032
694,4.92,6.82,93,12.998
695,4.92,7.575,80,7.0015
696,5.74,7.575,86,8.9981
697,6.56,9.09,64,8.9981
698,9.02,10.605,41,16.9979
699,12.3,13.635,28,22.0028
700,12.3,13.635,39,31.0009
701,12.3,13.635,39,27.9993
702,13.94,15.91,31,19.0012
703,13.94,15.15,29,27.9993
704,13.94,15.15,29,27.9993
705,13.12,14.395,31,35.0008
706,11.48,12.88,38,22.0028
707,11.48,13.635,38,11.0014
708,10.66,12.88,41,15.0013
709,10.66,15.15,41,0.0
710,9.84,12.88,44,6.0032
711,9.02,11.365,51,8.9981
712,8.2,11.365,64,7.0015
713,8.2,11.365,59,6.0032
714,8.2,11.365,75,6.0032
715,8.2,11.365,69,7.0015
716,8.2,10.605,69,11.0014
717,8.2,10.605,69,8.9981
718,9.02,13.635,55,0.0
719,9.02,11.365,64,12.998
720,9.84,11.365,60,15.0013
721,12.3,13.635,45,22.0028
722,13.12,14.395,39,30.0026
723,14.76,15.91,32,31.0009
724,15.58,19.695,29,23.9994
725,16.4,20.455,30,27.9993
726,16.4,20.455,30,19.9995
727,17.22,21.21,28,22.0028
728,17.22,21.21,28,22.0028
729,16.4,20.455,32,19.9995
730,16.4,20.455,35,19.0012
731,16.4,20.455,35,22.0028
732,16.4,20.455,35,23.9994
733,16.4,20.455,35,19.9995
734,16.4,20.455,35,23.9994
735,15.58,19.695,37,23.9994
736,15.58,19.695,37,23.9994
737,14.76,16.665,40,19.9995
738,13.94,15.91,46,15.0013
739,13.12,15.15,53,19.0012
740,13.12,15.15,53,19.0012
741,13.94,15.15,46,19.9995
742,13.94,15.15,46,19.9995
743,15.58,19.695,40,31.0009
744,16.4,20.455,37,26.0027
745,18.04,21.97,33,15.0013
746,21.32,25.0,23,16.9979
747,22.96,26.515,22,30.0026
748,23.78,27.275,19,26.0027
749,24.6,29.545,15,32.9975
750,22.96,26.515,21,43.9989
751,21.32,25.0,27,31.0009
752,18.86,22.725,33,40.9973
753,16.4,20.455,40,40.9973
754,15.58,19.695,43,32.9975
755,14.76,15.91,46,31.0009
756,14.76,15.91,50,35.0008
757,13.94,14.395,46,43.9989
758,13.12,14.395,49,32.9975
759,12.3,13.635,49,27.9993
760,12.3,12.12,42,51.9987
761,11.48,11.365,41,46.0022
762,9.02,9.09,37,35.0008
763,9.02,9.09,32,31.0009
764,8.2,9.09,32,22.0028
765,8.2,9.09,32,23.9994
766,8.2,9.09,32,23.9994
767,9.02,9.85,29,30.0026
768,9.84,10.605,27,19.0012
769,10.66,12.12,25,16.9979
770,11.48,13.635,24,16.9979
771,13.12,15.15,21,15.0013
772,13.94,15.91,19,15.0013
773,13.94,16.665,19,11.0014
774,13.94,15.91,19,16.9979
775,13.12,15.15,22,15.0013
776,12.3,15.15,22,8.9981
777,11.48,14.395,26,8.9981
778,10.66,13.635,33,7.0015
779,9.84,14.395,52,0.0
780,9.84,14.395,44,0.0
781,9.02,12.88,44,6.0032
782,9.02,12.88,41,6.0032
783,8.2,11.365,44,6.0032
784,8.2,9.85,47,12.998
785,8.2,9.85,51,12.998
786,8.2,9.85,47,12.998
787,8.2,9.85,55,15.0013
788,8.2,9.85,55,15.0013
789,9.02,11.365,55,11.0014
790,9.84,10.605,52,19.0012
791,10.66,11.365,41,26.0027
792,13.94,15.15,34,19.9995
793,15.58,19.695,32,22.0028
794,17.22,21.21,30,23.9994
795,18.86,22.725,28,27.9993
796,18.86,22.725,28,27.9993
797,18.86,22.725,31,26.0027
798,18.86,22.725,28,19.0012
799,16.4,20.455,40,15.0013
800,13.94,15.91,53,15.0013
801,15.58,19.695,43,12.998
802,14.76,17.425,46,12.998
803,13.94,16.665,53,12.998
804,15.58,19.695,40,15.0013
805,13.94,16.665,53,12.998
806,13.94,15.91,53,15.0013
807,13.94,15.91,53,15.0013
808,13.94,16.665,53,12.998
809,13.12,15.91,57,12.998
810,13.12,16.665,66,6.0032
811,12.3,15.15,70,8.9981
812,13.12,16.665,57,7.0015
813,13.12,16.665,57,6.0032
814,14.76,17.425,57,12.998
815,15.58,19.695,54,12.998
816,18.04,21.97,44,16.9979
817,19.68,23.485,41,15.0013
818,22.14,25.76,34,15.0013
819,24.6,31.06,31,15.0013
820,24.6,30.305,28,16.9979
821,22.96,26.515,35,19.9995
822,23.78,27.275,32,19.9995
823,22.14,25.76,42,19.0012
824,19.68,23.485,55,22.0028
825,19.68,23.485,59,22.0028
826,21.32,25.0,55,26.0027
827,20.5,24.24,59,19.0012
828,18.86,22.725,67,19.9995
829,18.04,21.97,72,19.0012
830,18.04,21.97,72,15.0013
