,weather,count,registered,casual
131,1,172.0,163.0,9.0
132,1,163.0,158.0,5.0
133,1,112.0,109.0,3.0
134,1,69.0,66.0,3.0
135,2,48.0,48.0,0.0
136,2,52.0,51.0,1.0
137,2,23.0,19.0,4.0
138,2,17.0,13.0,4.0
139,2,7.0,5.0,2.0
140,2,1.0,1.0,0.0
141,2,1.0,1.0,0.0
142,3,5.0,5.0,0.0
143,2,34.0,26.0,8.0
144,1,84.0,76.0,8.0
145,1,210.0,190.0,20.0
146,1,134.0,125.0,9.0
147,1,63.0,47.0,16.0
148,2,67.0,48.0,19.0
149,2,59.0,50.0,9.0
150,2,73.0,64.0,9.0
151,2,50.0,43.0,7.0
152,2,72.0,63.0,9.0
153,2,87.0,82.0,5.0
154,2,187.0,178.0,9.0
155,1,123.0,116.0,7.0
156,1,95.0,92.0,3.0
157,1,51.0,50.0,1.0
158,1,39.0,39.0,0.0
159,2,36.0,34.0,2.0
160,2,15.0,14.0,1.0
161,2,25.0,24.0,1.0
162,2,16.0,15.0,1.0
163,2,16.0,13.0,3.0
164,3,7.0,7.0,0.0
165,3,1.0,1.0,0.0
166,2,5.0,5.0,0.0
167,2,2.0,2.0,0.0
168,2,9.0,8.0,1.0
169,3,15.0,15.0,0.0
170,3,20.0,20.0,0.0
171,2,61.0,56.0,5.0
172,2,62.0,60.0,2.0
173,2,98.0,90.0,8.0
174,1,102.0,95.0,7.0
175,1,95.0,83.0,12.0
176,1,74.0,69.0,5.0
177,1,76.0,68.0,8.0
178,1,69.0,64.0,5.0
179,1,55.0,52.0,3.0
180,1,30.0,26.0,4.0
181,1,28.0,28.0,0.0
182,1,37.0,35.0,2.0
183,1,34.0,33.0,1.0
184,1,22.0,22.0,0.0
185,1,25.0,24.0,1.0
186,1,12.0,12.0,0.0
187,1,11.0,11.0,0.0
188,1,4.0,4.0,0.0
189,1,1.0,1.0,0.0
190,1,1.0,1.0,0.0
191,1,1.0,1.0,0.0
192,1,6.0,5.0,1.0
193,1,10.0,10.0,0.0
194,1,19.0,19.0,0.0
195,1,49.0,49.0,0.0
196,1,49.0,47.0,2.0
197,1,83.0,79.0,4.0
198,1,75.0,69.0,6.0
199,1,72.0,64.0,8.0
200,1,82.0,77.0,5.0
201,1,92.0,79.0,13.0
202,1,62.0,59.0,3.0
203,1,48.0,44.0,4.0
204,1,41.0,40.0,1.0
205,1,38.0,38.0,0.0
206,1,20.0,19.0,1.0
207,1,15.0,10.0,5.0
208,1,6.0,6.0,0.0
209,1,5.0,3.0,2.0
210,1,1.0,0.0,1.0
211,1,3.0,3.0,0.0
212,1,1.0,1.0,0.0
213,1,3.0,2.0,1.0
214,1,3.0,3.0,0.0
215,1,31.0,31.0,0.0
216,1,77.0,75.0,2.0
217,2,188.0,184.0,4.0
218,2,94.0,92.0,2.0
219,2,31.0,31.0,0.0
220,2,30.0,28.0,2.0
221,2,52.0,47.0,5.0
222,2,54.0,50.0,4.0
223,2,47.0,47.0,0.0
224,2,45.0,43.0,2.0
225,1,74.0,70.0,4.0
226,1,178.0,174.0,4.0
227,1,155.0,154.0,1.0
228,1,95.0,92.0,3.0
229,1,74.0,73.0,1.0
230,1,38.0,37.0,1.0
231,1,24.0,22.0,2.0
232,1,18.0,18.0,0.0
233,1,12.0,10.0,2.0
234,1,3.0,3.0,0.0
235,2,3.0,3.0,0.0
236,2,6.0,6.0,0.0
237,2,27.0,27.0,0.0
238,2,99.0,97.0,2.0
239,2,217.0,214.0,3.0
240,2,130.0,127.0,3.0
241,2,54.0,51.0,3.0
242,2,35.0,31.0,4.0
243,2,57.0,55.0,2.0
244,2,52.0,46.0,6.0
245,2,63.0,60.0,3.0
246,2,47.0,45.0,2.0
247,2,76.0,72.0,4.0
248,2,136.0,130.0,6.0
249,3,95.0,94.0,1.0
250,3,51.0,51.0,0.0
251,3,32.0,32.0,0.0
252,3,20.0,20.0,0.0
253,3,29.0,28.0,1.0
254,3,19.0,18.0,1.0
255,2,7.0,7.0,0.0
256,2,6.0,6.0,0.0
257,1,1.0,1.0,0.0
258,1,5.0,5.0,0.0
259,1,16.0,16.0,0.0
260,1,54.0,54.0,0.0
261,1,128.0,125.0,3.0
262,1,81.0,78.0,3.0
263,1,39.0,39.0,0.0
264,1,35.0,32.0,3.0
265,1,55.0,52.0,3.0
266,1,49.0,49.0,0.0
267,1,44.0,44.0,0.0
268,1,49.0,48.0,1.0
269,1,68.0,63.0,5.0
270,1,139.0,139.0,0.0
271,1,137.0,135.0,2.0
272,1,83.0,82.0,1.0
273,1,56.0,54.0,2.0
274,1,57.0,57.0,0.0
275,1,33.0,32.0,1.0
276,1,20.0,19.0,1.0
277,1,7.0,6.0,1.0
278,1,2.0,2.0,0.0
279,1,2.0,2.0,0.0
280,1,3.0,3.0,0.0
281,1,4.0,4.0,0.0
282,1,3.0,3.0,0.0
283,1,28.0,28.0,0.0
284,1,72.0,72.0,0.0
285,1,202.0,197.0,5.0
286,1,139.0,137.0,2.0
287,2,38.0,36.0,2.0
288,2,37.0,33.0,4.0
289,1,52.0,49.0,3.0
290,1,83.0,81.0,2.0
291,1,42.0,39.0,3.0
292,1,60.0,55.0,5.0
293,1,78.0,76.0,2.0
294,1,162.0,158.0,4.0
295,1,144.0,141.0,3.0
296,1,99.0,98.0,1.0
297,1,64.0,64.0,0.0
298,1,40.0,40.0,0.0
299,1,30.0,30.0,0.0
300,1,15.0,14.0,1.0
301,1,14.0,14.0,0.0
302,1,5.0,5.0,0.0
303,1,1.0,1.0,0.0
304,1,1.0,1.0,0.0
305,1,8.0,8.0,0.0
306,1,17.0,17.0,0.0
307,1,70.0,70.0,0.0
308,1,158.0,156.0,2.0
309,1,117.0,117.0,0.0
310,1,44.0,40.0,4.0
311,1,53.0,47.0,6.0
312,1,61.0,59.0,2.0
313,1,77.0,73.0,4.0
314,1,64.0,59.0,5.0
315,1,68.0,59.0,9.0
316,1,90.0,87.0,3.0
317,1,159.0,155.0,4.0
318,1,139.0,134.0,5.0
319,1,92.0,89.0,3.0
320,1,68.0,68.0,0.0
321,1,52.0,48.0,4.0
322,2,36.0,34.0,2.0
323,2,27.0,26.0,1.0
324,1,28.0,25.0,3.0
325,2,20.0,18.0,2.0
326,2,12.0,12.0,0.0
327,2,8.0,7.0,1.0
328,2,5.0,5.0,0.0
329,1,1.0,1.0,0.0
330,1,3.0,2.0,1.0
331,1,10.0,9.0,1.0
332,1,23.0,22.0,1.0
333,1,33.0,31.0,2.0
334,1,59.0,57.0,2.0
335,1,72.0,54.0,18.0
336,1,89.0,74.0,15.0
337,1,101.0,80.0,21.0
338,1,118.0,92.0,26.0
339,2,129.0,108.0,21.0
340,2,128.0,95.0,33.0
341,2,83.0,54.0,29.0
342,2,84.0,69.0,15.0
343,2,74.0,60.0,14.0
344,2,41.0,35.0,6.0
345,2,57.0,51.0,6.0
346,2,26.0,26.0,0.0
347,1,44.0,39.0,5.0
348,1,39.0,33.0,6.0
349,1,23.0,19.0,4.0
350,1,16.0,13.0,3.0
351,1,15.0,6.0,9.0
352,1,1.0,1.0,0.0
353,2,2.0,1.0,1.0
354,2,1.0,1.0,0.0
355,2,3.0,3.0,0.0
356,1,18.0,18.0,0.0
357,1,32.0,29.0,3.0
358,1,79.0,71.0,8.0
359,1,93.0,70.0,23.0
360,1,104.0,75.0,29.0
361,1,118.0,95.0,23.0
362,1,91.0,69.0,22.0
363,1,113.0,78.0,35.0
364,1,99.0,77.0,22.0
365,1,105.0,82.0,23.0
366,1,67.0,56.0,11.0
367,1,61.0,47.0,14.0
368,1,57.0,50.0,7.0
369,1,28.0,22.0,6.0
370,2,21.0,19.0,2.0
371,2,18.0,18.0,0.0
372,2,17.0,16.0,1.0
373,2,16.0,15.0,1.0
374,2,8.0,8.0,0.0
375,2,2.0,2.0,0.0
376,2,3.0,2.0,1.0
377,2,1.0,1.0,0.0
378,2,5.0,5.0,0.0
379,2,13.0,9.0,4.0
380,2,33.0,30.0,3.0
381,2,47.0,39.0,8.0
382,2,57.0,50.0,7.0
383,2,64.0,55.0,9.0
384,2,80.0,70.0,10.0
385,2,93.0,80.0,13.0
386,2,86.0,74.0,12.0
387,2,93.0,72.0,21.0
388,2,82.0,76.0,6.0
389,1,71.0,67.0,4.0
390,2,92.0,85.0,7.0
391,3,60.0,58.0,2.0
392,3,33.0,29.0,4.0
393,3,27.0,24.0,3.0
394,3,13.0,13.0,0.0
395,3,4.0,3.0,1.0
396,2,3.0,3.0,0.0
397,2,22.0,22.0,0.0
398,2,28.0,26.0,2.0
399,2,35.0,32.0,3.0
400,2,61.0,61.0,0.0
401,2,125.0,124.0,1.0
402,2,133.0,132.0,1.0
403,2,99.0,98.0,1.0
404,2,83.0,83.0,0.0
405,2,41.0,41.0,0.0
406,2,33.0,33.0,0.0
407,2,20.0,19.0,1.0
408,2,3.0,3.0,0.0
409,3,7.0,6.0,1.0
410,3,3.0,3.0,0.0
411,3,2.0,1.0,1.0
412,2,7.0,7.0,0.0
413,2,32.0,32.0,0.0
414,2,90.0,89.0,1.0
415,2,197.0,196.0,1.0
416,2,109.0,107.0,2.0
417,2,47.0,46.0,1.0
418,2,52.0,47.0,5.0
419,2,70.0,65.0,5.0
420,1,78.0,67.0,11.0
421,1,75.0,68.0,7.0
422,1,82.0,78.0,4.0
423,1,104.0,94.0,10.0
424,1,197.0,190.0,7.0
425,1,161.0,156.0,5.0
426,1,112.0,108.0,4.0
427,1,76.0,74.0,2.0
428,1,59.0,55.0,4.0
429,1,59.0,53.0,6.0
430,1,28.0,27.0,1.0
431,2,8.0,6.0,2.0
432,2,3.0,3.0,0.0
433,2,2.0,2.0,0.0
434,2,2.0,2.0,0.0
435,3,3.0,3.0,0.0
436,3,22.0,22.0,0.0
437,3,52.0,52.0,0.0
438,3,135.0,132.0,3.0
439,2,116.0,114.0,2.0
440,2,47.0,47.0,0.0
441,2,51.0,49.0,2.0
442,2,55.0,53.0,2.0
443,2,52.0,49.0,3.0
444,2,54.0,49.0,5.0
445,2,52.0,45.0,7.0
446,2,64.0,61.0,3.0
447,2,176.0,172.0,4.0
448,2,168.0,165.0,3.0
449,2,108.0,105.0,3.0
450,2,74.0,69.0,5.0
451,2,64.0,64.0,0.0
452,2,36.0,34.0,2.0
453,3,16.0,15.0,1.0
454,3,2.0,2.0,0.0
455,3,3.0,3.0,0.0
456,3,4.0,0.0,4.0
457,3,1.0,1.0,0.0
458,3,1.0,1.0,0.0
459,3,3.0,3.0,0.0
460,3,18.0,17.0,1.0
461,3,49.0,48.0,1.0
462,3,155.0,154.0,1.0
463,2,123.0,119.0,4.0
464,2,61.0,59.0,2.0
465,2,52.0,47.0,5.0
466,2,64.0,61.0,3.0
467,1,75.0,74.0,1.0
468,1,63.0,61.0,2.0
469,1,76.0,66.0,10.0
470,1,103.0,95.0,8.0
471,1,190.0,183.0,7.0
472,1,182.0,175.0,7.0
473,1,91.0,88.0,3.0
474,1,75.0,71.0,4.0
475,1,63.0,62.0,1.0
476,1,40.0,35.0,5.0
477,1,32.0,29.0,3.0
478,1,12.0,11.0,1.0
479,1,5.0,5.0,0.0
480,1,2.0,2.0,0.0
481,1,1.0,1.0,0.0
482,1,2.0,2.0,0.0
483,1,39.0,39.0,0.0
484,1,87.0,86.0,1.0
485,1,188.0,184.0,4.0
486,1,133.0,127.0,6.0
487,1,52.0,50.0,2.0
488,1,64.0,55.0,9.0
489,1,69.0,67.0,2.0
490,1,51.0,47.0,4.0
491,1,47.0,43.0,4.0
492,1,60.0,56.0,4.0
493,1,78.0,73.0,5.0
494,1,175.0,170.0,5.0
495,1,147.0,145.0,2.0
496,1,96.0,92.0,4.0
497,1,109.0,108.0,1.0
498,1,54.0,53.0,1.0
499,1,41.0,39.0,2.0
500,1,38.0,34.0,4.0
501,2,13.0,10.0,3.0
502,2,7.0,7.0,0.0
503,2,1.0,1.0,0.0
504,2,1.0,1.0,0.0
505,2,7.0,7.0,0.0
506,2,28.0,26.0,2.0
507,1,87.0,87.0,0.0
508,1,220.0,217.0,3.0
509,2,127.0,124.0,3.0
510,2,51.0,46.0,5.0
511,1,64.0,61.0,3.0
512,2,86.0,78.0,8.0
513,2,82.0,73.0,9.0
514,2,91.0,76.0,15.0
515,2,90.0,81.0,9.0
516,2,99.0,91.0,8.0
517,2,205.0,195.0,10.0
518,2,155.0,152.0,3.0
519,2,103.0,102.0,1.0
520,2,71.0,69.0,2.0
521,2,43.0,41.0,2.0
522,2,46.0,45.0,1.0
523,2,31.0,30.0,1.0
524,2,39.0,36.0,3.0
525,2,18.0,17.0,1.0
526,2,17.0,12.0,5.0
527,2,11.0,10.0,1.0
528,3,8.0,8.0,0.0
529,3,9.0,9.0,0.0
530,3,4.0,4.0,0.0
531,3,4.0,4.0,0.0
532,3,10.0,10.0,0.0
533,3,20.0,17.0,3.0
534,3,34.0,31.0,3.0
535,3,47.0,46.0,1.0
536,3,52.0,42.0,10.0
537,3,72.0,62.0,10.0
538,3,55.0,50.0,5.0
539,3,60.0,49.0,11.0
540,3,71.0,63.0,8.0
541,2,78.0,64.0,14.0
542,2,83.0,81.0,2.0
543,2,84.0,78.0,6.0
544,1,69.0,64.0,5.0
545,1,56.0,53.0,3.0
546,1,45.0,43.0,2.0
547,1,59.0,52.0,7.0
548,1,39.0,37.0,2.0
549,1,44.0,40.0,4.0
550,1,20.0,20.0,0.0
551,1,13.0,10.0,3.0
552,1,2.0,2.0,0.0
553,1,1.0,1.0,0.0
554,1,1.0,1.0,0.0
555,1,8.0,8.0,0.0
556,1,23.0,21.0,2.0
557,1,45.0,38.0,7.0
558,1,89.0,74.0,15.0
559,1,117.0,89.0,28.0
560,1,174.0,126.0,48.0
561,1,182.0,135.0,47.0
562,1,161.0,114.0,47.0
563,1,182.0,130.0,52.0
564,1,157.0,115.0,42.0
565,1,121.0,97.0,24.0
566,1,78.0,65.0,13.0
567,1,21.0,20.0,1.0
568,1,26.0,21.0,5.0
569,1,27.0,22.0,5.0
570,1,62.0,57.0,5.0
571,1,30.0,26.0,4.0
572,1,15.0,14.0,1.0
573,1,5.0,4.0,1.0
574,1,3.0,3.0,0.0
575,1,1.0,1.0,0.0
576,1,2.0,1.0,1.0
577,1,10.0,9.0,1.0
578,1,30.0,29.0,1.0
579,1,95.0,89.0,6.0
580,2,230.0,223.0,7.0
581,1,118.0,115.0,3.0
582,1,55.0,49.0,6.0
583,1,47.0,36.0,11.0
584,2,66.0,59.0,7.0
585,2,64.0,54.0,10.0
586,2,60.0,52.0,8.0
587,2,50.0,46.0,4.0
588,2,114.0,98.0,16.0
589,2,216.0,207.0,9.0
590,2,175.0,170.0,5.0
591,2,128.0,123.0,5.0
592,2,88.0,82.0,6.0
593,1,78.0,75.0,3.0
594,1,37.0,34.0,3.0
595,2,25.0,19.0,6.0
596,2,10.0,6.0,4.0
597,2,4.0,4.0,0.0
598,2,2.0,1.0,1.0
599,3,1.0,1.0,0.0
600,1,3.0,3.0,0.0
601,1,2.0,2.0,0.0
602,1,39.0,39.0,0.0
603,1,100.0,97.0,3.0
604,1,243.0,236.0,7.0
605,1,135.0,128.0,7.0
606,1,48.0,44.0,4.0
607,1,50.0,49.0,1.0
608,1,65.0,63.0,2.0
609,2,50.0,48.0,2.0
610,1,64.0,61.0,3.0
611,1,51.0,45.0,6.0
612,1,83.0,79.0,4.0
613,1,176.0,172.0,4.0
614,1,152.0,151.0,1.0
615,1,101.0,100.0,1.0
616,1,56.0,53.0,3.0
617,1,54.0,46.0,8.0
618,1,29.0,29.0,0.0
619,1,12.0,9.0,3.0
620,1,17.0,17.0,0.0
621,1,7.0,7.0,0.0
622,1,3.0,2.0,1.0
623,1,2.0,2.0,0.0
624,1,7.0,7.0,0.0
625,1,43.0,43.0,0.0
626,1,99.0,95.0,4.0
627,1,199.0,198.0,1.0
628,1,123.0,119.0,4.0
629,1,59.0,51.0,8.0
630,2,41.0,40.0,1.0
631,2,61.0,57.0,4.0
632,1,69.0,67.0,2.0
633,1,58.0,56.0,2.0
634,2,64.0,61.0,3.0
635,2,79.0,72.0,7.0
636,2,166.0,157.0,9.0
637,2,170.0,168.0,2.0
638,3,88.0,87.0,1.0
639,3,84.0,84.0,0.0
640,2,83.0,83.0,0.0
641,3,46.0,42.0,4.0
642,3,37.0,37.0,0.0
643,3,16.0,16.0,0.0
644,3,7.0,7.0,0.0
645,3,3.0,3.0,0.0
646,2,1.0,1.0,0.0
647,2,6.0,6.0,0.0
648,2,26.0,26.0,0.0
649,1,99.0,99.0,0.0
650,1,178.0,173.0,5.0
651,1,122.0,121.0,1.0
652,1,35.0,34.0,1.0
653,1,45.0,44.0,1.0
654,1,69.0,65.0,4.0
655,1,62.0,59.0,3.0
656,1,48.0,42.0,6.0
657,1,50.0,50.0,0.0
658,1,80.0,76.0,4.0
659,1,165.0,159.0,6.0
660,1,160.0,157.0,3.0
661,1,112.0,110.0,2.0
662,1,97.0,93.0,4.0
663,1,72.0,70.0,2.0
664,1,51.0,47.0,4.0
665,1,34.0,33.0,1.0
666,1,14.0,12.0,2.0
667,1,7.0,6.0,1.0
668,1,3.0,3.0,0.0
669,1,4.0,4.0,0.0
670,1,24.0,23.0,1.0
671,1,74.0,73.0,1.0
672,1,216.0,212.0,4.0
673,1,140.0,132.0,8.0
674,1,44.0,39.0,5.0
675,1,64.0,52.0,12.0
676,1,71.0,64.0,7.0
677,1,110.0,89.0,21.0
678,1,84.0,67.0,17.0
679,1,74.0,62.0,12.0
680,1,125.0,111.0,14.0
681,1,211.0,193.0,18.0
682,1,174.0,165.0,9.0
683,1,101.0,94.0,7.0
684,1,63.0,61.0,2.0
685,1,47.0,46.0,1.0
686,1,43.0,41.0,2.0
687,1,53.0,48.0,5.0
688,1,30.0,27.0,3.0
689,1,24.0,22.0,2.0
690,1,15.0,13.0,2.0
691,1,10.0,7.0,3.0
692,1,4.0,4.0,0.0
693,1,1.0,1.0,0.0
694,1,2.0,1.0,1.0
695,1,11.0,9.0,2.0
696,1,30.0,28.0,2.0
697,1,43.0,38.0,5.0
698,1,84.0,71.0,13.0
699,1,114.0,84.0,30.0
700,1,120.0,93.0,27.0
701,1,135.0,103.0,32.0
702,1,120.0,90.0,30.0
703,1,174.0,127.0,47.0
704,1,145.0,103.0,42.0
705,1,137.0,113.0,24.0
706,1,64.0,60.0,4.0
707,1,41.0,39.0,2.0
708,1,40.0,39.0,1.0
709,1,51.0,42.0,9.0
710,1,45.0,39.0,6.0
711,1,32.0,31.0,1.0
712,1,39.0,34.0,5.0
713,1,24.0,23.0,1.0
714,2,20.0,19.0,1.0
715,2,12.0,8.0,4.0
716,2,2.0,2.0,0.0
717,2,5.0,3.0,2.0
718,2,3.0,3.0,0.0
719,2,12.0,11.0,1.0
720,2,47.0,35.0,12.0
721,1,105.0,86.0,19.0
722,1,112.0,86.0,26.0
723,1,152.0,94.0,58.0
724,1,154.0,92.0,62.0
725,2,161.0,110.0,51.0
726,2,162.0,122.0,40.0
727,2,134.0,106.0,28.0
728,1,125.0,95.0,30.0
729,1,95.0,78.0,17.0
730,1,61.0,50.0,11.0
731,1,47.0,32.0,15.0
732,1,51.0,45.0,6.0
733,1,36.0,31.0,5.0
734,1,30.0,27.0,3.0
735,1,11.0,8.0,3.0
736,1,7.0,6.0,1.0
737,1,2.0,2.0,0.0
738,1,2.0,1.0,1.0
739,1,2.0,2.0,0.0
740,1,3.0,3.0,0.0
741,1,26.0,25.0,1.0
742,1,98.0,96.0,2.0
743,1,256.0,249.0,7.0
744,1,130.0,122.0,8.0
745,1,55.0,46.0,9.0
746,1,53.0,43.0,10.0
747,1,126.0,99.0,27.0
748,1,120.0,93.0,27.0
749,1,90.0,76.0,14.0
750,1,90.0,71.0,19.0
751,1,118.0,102.0,16.0
752,1,243.0,218.0,25.0
753,1,205.0,194.0,11.0
754,1,98.0,86.0,12.0
755,1,70.0,65.0,5.0
756,1,43.0,35.0,8.0
757,1,45.0,44.0,1.0
758,1,20.0,19.0,1.0
759,1,19.0,12.0,7.0
760,1,5.0,5.0,0.0
761,1,3.0,2.0,1.0
762,1,1.0,1.0,0.0
763,1,4.0,4.0,0.0
764,1,30.0,30.0,0.0
765,1,105.0,103.0,2.0
766,1,223.0,213.0,10.0
767,1,110.0,108.0,2.0
768,1,52.0,47.0,5.0
769,1,57.0,46.0,11.0
770,1,71.0,65.0,6.0
771,1,82.0,68.0,14.0
772,1,79.0,69.0,10.0
773,1,85.0,74.0,11.0
774,1,98.0,77.0,21.0
775,1,206.0,191.0,15.0
776,1,212.0,198.0,14.0
777,1,145.0,142.0,3.0
778,1,101.0,98.0,3.0
779,1,66.0,61.0,5.0
780,1,41.0,41.0,0.0
781,2,20.0,20.0,0.0
782,1,15.0,15.0,0.0
783,1,9.0,9.0,0.0
784,2,1.0,1.0,0.0
785,1,1.0,1.0,0.0
786,1,5.0,5.0,0.0
787,1,33.0,32.0,1.0
788,2,108.0,103.0,5.0
789,2,230.0,224.0,6.0
790,1,124.0,122.0,2.0
791,1,69.0,55.0,14.0
792,1,66.0,59.0,7.0
793,1,86.0,72.0,14.0
794,1,93.0,80.0,13.0
795,1,82.0,65.0,17.0
796,1,117.0,82.0,35.0
797,1,122.0,96.0,26.0
798,1,255.0,244.0,11.0
799,1,222.0,202.0,20.0
800,1,161.0,143.0,18.0
801,1,118.0,108.0,10.0
802,1,92.0,87.0,5.0
803,1,73.0,61.0,12.0
804,1,33.0,31.0,2.0
805,1,17.0,16.0,1.0
806,1,6.0,6.0,0.0
807,2,6.0,4.0,2.0
808,1,4.0,1.0,3.0
809,1,4.0,1.0,3.0
810,1,12.0,11.0,1.0
811,1,47.0,44.0,3.0
812,1,126.0,119.0,7.0
813,1,285.0,267.0,18.0
814,1,179.0,163.0,16.0
815,1,88.0,70.0,18.0
816,2,90.0,71.0,19.0
817,1,101.0,86.0,15.0
818,1,123.0,108.0,15.0
819,1,81.0,55.0,26.0
820,1,106.0,91.0,15.0
821,2,146.0,117.0,29.0
822,2,274.0,256.0,18.0
823,2,222.0,211.0,11.0
824,1,175.0,161.0,14.0
825,1,139.0,131.0,8.0
826,1,124.0,119.0,5.0
827,1,76.0,68.0,8.0
828,1,44.0,40.0,4.0
829,1,32.0,20.0,12.0
830,1,8.0,7.0,1.0
831,1,7.0,5.0,2.0
832,1,8.0,6.0,2.0
833,1,1.0,1.0,0.0
834,2,7.0,6.0,1.0
835,2,50.0,48.0,2.0
836,2,116.0,108.0,8.0
837,2,272.0,246.0,26.0
838,2,169.0,154.0,15.0
839,2,95.0,78.0,17.0
840,1,113.0,82.0,31.0
841,1,185.0,126.0,59.0
842,1,176.0,131.0,45.0
843,1,191.0,118.0,73.0
844,1,172.0,117.0,55.0
845,1,232.0,164.0,68.0
846,1,327.0,275.0,52.0
847,1,224.0,195.0,29.0
848,1,162.0,146.0,16.0
849,1,124.0,105.0,19.0
850,1,72.0,61.0,11.0
851,1,107.0,88.0,19.0
852,1,77.0,61.0,16.0
853,1,29.0,23.0,6.0
854,1,31.0,21.0,10.0
855,1,17.0,14.0,3.0
856,1,7.0,7.0,0.0
857,1,3.0,3.0,0.0
858,1,3.0,3.0,0.0
859,1,6.0,3.0,3.0
860,1,22.0,16.0,6.0
861,1,45.0,36.0,9.0
862,1,55.0,37.0,18.0
863,1,106.0,72.0,34.0
864,1,123.0,76.0,47.0
865,1,119.0,81.0,38.0
866,1,155.0,103.0,52.0
867,1,196.0,94.0,102.0
868,1,171.0,87.0,84.0
869,1,120.0,81.0,39.0
870,1,127.0,91.0,36.0
871,1,88.0,67.0,21.0
872,1,59.0,54.0,5.0
