count,registered,casual,hour1,temp,humidity,year1,season,windspeed
2,2,0,1,6.56,59,2011,1,7.0015
1,1,0,2,5.74,63,2011,1,8.9981
2,2,0,4,5.74,63,2011,1,6.0032
4,4,0,5,4.92,68,2011,1,7.0015
36,36,0,6,4.92,74,2011,1,7.0015
94,92,2,7,4.92,74,2011,1,8.9981
179,177,2,8,5.74,69,2011,1,11.0014
100,98,2,9,6.56,64,2011,1,15.0013
42,37,5,10,6.56,69,2011,1,22.0028
57,50,7,11,9.02,51,2011,1,19.9995
78,66,12,12,9.02,51,2011,1,11.0014
97,79,18,13,9.84,56,2011,1,12.998
63,54,9,14,10.66,52,2011,1,15.0013
65,48,17,15,11.48,52,2011,1,16.9979
83,68,15,16,12.3,49,2011,1,16.9979
212,202,10,17,11.48,48,2011,1,15.0013
182,179,3,18,10.66,48,2011,1,12.998
112,110,2,19,9.84,48,2011,1,7.0015
54,53,1,20,9.84,48,2011,1,7.0015
48,48,0,21,9.02,64,2011,1,8.451895256
35,34,1,22,9.02,64,2011,1,6.0032
11,9,2,23,8.2,69,2011,1,6.0032
6,6,0,0,8.2,64,2011,1,7.862588555
6,6,0,1,6.56,74,2011,1,6.0032
2,2,0,2,6.56,74,2011,1,6.0032
2,2,0,4,9.84,48,2011,1,15.0013
3,3,0,5,9.02,47,2011,1,11.0014
33,33,0,6,8.2,47,2011,1,15.0013
88,87,1,7,7.38,43,2011,1,12.998
195,192,3,8,8.2,40,2011,1,19.9995
115,109,6,9,9.02,37,2011,1,22.0028
57,53,4,10,9.02,37,2011,1,22.0028
46,34,12,11,10.66,33,2011,1,22.0028
79,74,5,12,10.66,33,2011,1,22.0028
71,65,6,13,11.48,30,2011,1,19.9995
62,52,10,14,12.3,28,2011,1,12.998
62,55,7,15,12.3,28,2011,1,12.998
89,85,4,16,12.3,28,2011,1,6.0032
190,186,4,17,9.84,38,2011,1,12.998
169,166,3,18,9.84,38,2011,1,8.9981
132,127,5,19,9.84,38,2011,1,7.0015
89,82,7,20,9.02,47,2011,1,11.0014
43,40,3,21,8.2,51,2011,1,12.998
42,41,1,22,7.38,55,2011,1,8.9981
19,18,1,23,8.2,47,2011,1,7.35927759
11,11,0,0,7.38,55,2011,1,7.303871106
4,4,0,1,6.56,64,2011,1,7.807797576
2,2,0,2,6.56,64,2011,1,7.807797576
1,1,0,4,6.56,64,2011,1,6.0032
4,4,0,5,5.74,69,2011,1,6.0032
36,36,0,6,5.74,63,2011,1,7.0015
95,95,0,7,6.56,59,2011,1,6.956104503
219,216,3,8,6.56,59,2011,1,6.969592506
122,116,6,9,7.38,51,2011,1,7.530845693
45,42,3,10,8.2,47,2011,1,7.35927759
59,57,2,11,9.02,44,2011,1,6.0032
84,78,6,12,10.66,35,2011,1,12.50818239
67,55,12,13,10.66,35,2011,1,7.0015
70,59,11,14,11.48,36,2011,1,11.0014
62,54,8,15,11.48,36,2011,1,17.43147849
86,74,12,16,10.66,38,2011,1,11.0014
172,163,9,17,9.02,51,2011,1,11.0014
163,158,5,18,9.02,51,2011,1,8.9981
112,109,3,19,9.02,55,2011,1,6.0032
69,66,3,20,8.2,51,2011,1,11.0014
48,48,0,21,9.02,55,2011,1,15.0013
52,51,1,22,9.02,51,2011,1,19.0012
23,19,4,23,8.2,59,2011,1,12.998
17,13,4,0,8.2,64,2011,1,12.998
7,5,2,1,8.2,69,2011,1,15.0013
1,1,0,2,8.2,69,2011,1,15.0013
1,1,0,4,8.2,69,2011,1,8.9981
5,5,0,5,9.02,55,2011,1,14.87533187
34,26,8,6,8.2,69,2011,1,8.778911983
84,76,8,7,8.2,69,2011,1,8.9981
210,190,20,8,8.2,51,2011,1,16.9979
134,125,9,9,8.2,47,2011,1,19.9995
63,47,16,10,9.02,37,2011,1,22.0028
67,48,19,11,8.2,40,2011,1,15.0013
59,50,9,12,8.2,37,2011,1,16.9979
73,64,9,13,8.2,37,2011,1,19.0012
50,43,7,14,8.2,40,2011,1,16.9979
72,63,9,15,8.2,37,2011,1,11.0014
87,82,5,16,8.2,37,2011,1,11.0014
187,178,9,17,8.2,37,2011,1,7.201482266
123,116,7,18,8.2,40,2011,1,6.0032
95,92,3,19,6.56,55,2011,1,6.0032
51,50,1,20,7.38,47,2011,1,7.0015
39,39,0,21,7.38,47,2011,1,8.9981
36,34,2,22,7.38,43,2011,1,11.0014
15,14,1,23,7.38,51,2011,1,11.0014
25,24,1,0,7.38,51,2011,1,11.0014
16,15,1,1,7.38,55,2011,1,6.0032
16,13,3,2,7.38,55,2011,1,7.28945845
7,7,0,3,7.38,55,2011,1,11.0014
1,1,0,4,7.38,55,2011,1,11.0014
5,5,0,5,6.56,74,2011,1,11.0014
2,2,0,6,6.56,74,2011,1,11.0014
9,8,1,7,6.56,74,2011,1,7.0015
15,15,0,8,6.56,93,2011,1,7.0015
20,20,0,9,6.56,93,2011,1,7.0015
61,56,5,10,7.38,80,2011,1,11.0014
62,60,2,11,8.2,69,2011,1,26.0027
98,90,8,12,8.2,59,2011,1,23.9994
102,95,7,13,8.2,44,2011,1,22.0028
95,83,12,14,8.2,32,2011,1,32.9975
74,69,5,15,8.2,32,2011,1,30.0026
76,68,8,16,7.38,29,2011,1,30.0026
69,64,5,17,6.56,37,2011,1,36.9974
55,52,3,18,5.74,39,2011,1,19.9995
30,26,4,19,5.74,36,2011,1,16.9979
28,28,0,20,4.92,36,2011,1,16.9979
37,35,2,21,4.92,39,2011,1,23.9994
34,33,1,22,4.92,36,2011,1,26.0027
22,22,0,23,4.1,39,2011,1,30.0026
25,24,1,0,4.1,42,2011,1,26.0027
12,12,0,1,4.1,42,2011,1,31.0009
11,11,0,2,4.1,46,2011,1,31.0009
4,4,0,3,4.1,46,2011,1,27.9993
1,1,0,4,3.28,53,2011,1,12.998
1,1,0,5,3.28,53,2011,1,12.998
1,1,0,6,4.1,49,2011,1,19.0012
6,5,1,7,3.28,53,2011,1,12.998
10,10,0,8,4.1,49,2011,1,19.0012
19,19,0,9,4.92,46,2011,1,35.0008
49,49,0,10,5.74,43,2011,1,26.0027
49,47,2,11,6.56,40,2011,1,35.0008
83,79,4,12,7.38,37,2011,1,30.0026
75,69,6,13,8.2,34,2011,1,30.0026
72,64,8,14,9.02,32,2011,1,31.0009
82,77,5,15,9.02,35,2011,1,23.9994
92,79,13,16,8.2,34,2011,1,30.0026
62,59,3,17,7.38,37,2011,1,26.0027
48,44,4,18,6.56,40,2011,1,22.0028
41,40,1,19,6.56,43,2011,1,22.0028
38,38,0,20,5.74,46,2011,1,16.9979
20,19,1,21,5.74,46,2011,1,27.9993
15,10,5,22,5.74,46,2011,1,19.9995
6,6,0,23,4.92,50,2011,1,12.998
5,3,2,0,4.92,50,2011,1,19.0012
1,0,1,1,4.92,50,2011,1,19.0012
3,3,0,2,4.92,50,2011,1,15.0013
1,1,0,3,4.92,50,2011,1,15.0013
3,2,1,4,4.1,54,2011,1,8.9981
3,3,0,5,4.1,54,2011,1,16.9979
31,31,0,6,4.92,50,2011,1,19.0012
77,75,2,7,4.92,50,2011,1,15.0013
188,184,4,8,4.92,50,2011,1,19.0012
94,92,2,9,5.74,50,2011,1,16.9979
31,31,0,10,5.74,50,2011,1,19.9995
30,28,2,11,6.56,47,2011,1,19.0012
52,47,5,12,8.2,40,2011,1,19.0012
54,50,4,13,8.2,40,2011,1,19.0012
47,47,0,14,8.2,40,2011,1,15.0013
45,43,2,15,8.2,40,2011,1,15.0013
74,70,4,16,8.2,40,2011,1,8.9981
178,174,4,17,8.2,40,2011,1,7.0015
155,154,1,18,8.2,40,2011,1,15.0013
95,92,3,19,6.56,47,2011,1,11.0014
74,73,1,20,6.56,50,2011,1,11.0014
38,37,1,21,5.74,59,2011,1,12.998
24,22,2,22,5.74,59,2011,1,11.0014
18,18,0,23,5.74,59,2011,1,11.0014
12,10,2,0,5.74,59,2011,1,7.0015
3,3,0,1,5.74,59,2011,1,11.0014
3,3,0,2,6.56,55,2011,1,12.998
6,6,0,5,6.56,55,2011,1,8.9981
27,27,0,6,6.56,55,2011,1,8.9981
99,97,2,7,6.56,55,2011,1,7.163459348
217,214,3,8,7.38,51,2011,1,6.0032
130,127,3,9,7.38,51,2011,1,11.0014
54,51,3,10,8.2,51,2011,1,11.0014
35,31,4,11,8.2,47,2011,1,8.9981
57,55,2,12,8.2,51,2011,1,7.0015
52,46,6,13,8.2,59,2011,1,6.0032
63,60,3,14,8.2,59,2011,1,6.0032
47,45,2,15,6.56,80,2011,1,6.0032
76,72,4,16,6.56,86,2011,1,15.0013
136,130,6,17,6.56,86,2011,1,15.0013
95,94,1,18,6.56,93,2011,1,7.0015
51,51,0,19,6.56,93,2011,1,6.840148118
32,32,0,20,6.56,93,2011,1,12.998
20,20,0,21,6.56,86,2011,1,6.0032
29,28,1,22,6.56,93,2011,1,7.0015
19,18,1,23,6.56,93,2011,1,6.0032
7,7,0,0,6.56,86,2011,1,6.0032
6,6,0,1,6.56,86,2011,1,7.0015
1,1,0,2,5.74,86,2011,1,8.9981
5,5,0,5,5.74,86,2011,1,11.0014
16,16,0,6,4.92,93,2011,1,8.9981
54,54,0,7,5.74,69,2011,1,8.9981
128,125,3,8,6.56,59,2011,1,11.0014
81,78,3,9,6.56,59,2011,1,22.0028
39,39,0,10,7.38,55,2011,1,15.0013
35,32,3,11,8.2,51,2011,1,26.0027
55,52,3,12,8.2,47,2011,1,39.0007
49,49,0,13,9.02,44,2011,1,23.9994
44,44,0,14,8.2,47,2011,1,22.0028
49,48,1,15,8.2,47,2011,1,27.9993
68,63,5,16,9.02,44,2011,1,22.0028
139,139,0,17,8.2,47,2011,1,23.9994
137,135,2,18,8.2,47,2011,1,35.0008
83,82,1,19,7.38,47,2011,1,27.9993
56,54,2,20,6.56,50,2011,1,22.0028
57,57,0,21,6.56,55,2011,1,22.0028
33,32,1,22,6.56,55,2011,1,30.0026
20,19,1,23,5.74,59,2011,1,27.9993
7,6,1,0,5.74,59,2011,1,19.0012
2,2,0,1,5.74,50,2011,1,19.0012
2,2,0,2,5.74,50,2011,1,23.9994
3,3,0,3,5.74,50,2011,1,22.0028
4,4,0,4,5.74,50,2011,1,16.9979
3,3,0,5,5.74,50,2011,1,19.9995
28,28,0,6,4.92,54,2011,1,8.9981
72,72,0,7,4.92,54,2011,1,8.9981
202,197,5,8,5.74,50,2011,1,12.998
139,137,2,9,5.74,50,2011,1,22.0028
38,36,2,10,6.56,50,2011,1,23.9994
37,33,4,11,8.2,44,2011,1,30.0026
52,49,3,12,8.2,44,2011,1,27.9993
83,81,2,13,9.02,41,2011,1,30.0026
42,39,3,14,9.02,41,2011,1,26.0027
60,55,5,15,9.84,38,2011,1,19.9995
78,76,2,16,9.84,38,2011,1,23.9994
162,158,4,17,8.2,40,2011,1,19.0012
144,141,3,18,8.2,40,2011,1,22.0028
99,98,1,19,6.56,47,2011,1,16.9979
64,64,0,20,6.56,47,2011,1,15.0013
40,40,0,21,5.74,46,2011,1,19.9995
30,30,0,22,5.74,46,2011,1,22.0028
15,14,1,23,4.92,50,2011,1,12.998
14,14,0,0,4.92,50,2011,1,12.998
5,5,0,1,4.1,54,2011,1,11.0014
1,1,0,2,4.1,54,2011,1,8.9981
1,1,0,3,4.1,54,2011,1,7.0015
8,8,0,5,4.1,54,2011,1,6.0032
17,17,0,6,4.1,54,2011,1,8.013489918
70,70,0,7,4.1,74,2011,1,11.0014
158,156,2,8,4.92,68,2011,1,9.976667916
117,117,0,9,5.74,69,2011,1,8.9981
44,40,4,10,7.38,55,2011,1,12.998
53,47,6,11,7.38,51,2011,1,19.0012
61,59,2,12,8.2,44,2011,1,16.9979
77,73,4,13,9.02,37,2011,1,26.0027
64,59,5,14,9.02,41,2011,1,19.0012
68,59,9,15,9.84,38,2011,1,11.0014
90,87,3,16,9.02,41,2011,1,7.0015
159,155,4,17,9.02,41,2011,1,11.0014
139,134,5,18,8.2,47,2011,1,7.35927759
92,89,3,19,6.56,59,2011,1,6.0032
68,68,0,20,7.38,59,2011,1,7.239782114
52,48,4,21,6.56,69,2011,1,8.272886809
36,34,2,22,6.56,69,2011,1,8.743562626
27,26,1,23,7.38,55,2011,1,7.28945845
28,25,3,0,7.38,55,2011,1,7.303871106
20,18,2,1,6.56,59,2011,1,6.0032
12,12,0,2,6.56,59,2011,1,6.0032
8,7,1,3,6.56,59,2011,1,6.956104503
5,5,0,4,6.56,59,2011,1,6.956104503
1,1,0,5,6.56,59,2011,1,6.969592506
3,2,1,6,5.74,63,2011,1,7.0015
10,9,1,7,5.74,63,2011,1,7.623392515
23,22,1,8,5.74,63,2011,1,8.9981
33,31,2,9,6.56,64,2011,1,8.9981
59,57,2,10,7.38,59,2011,1,11.0014
72,54,18,11,8.2,55,2011,1,15.0013
89,74,15,12,9.84,48,2011,1,15.0013
101,80,21,13,11.48,38,2011,1,19.9995
118,92,26,14,12.3,39,2011,1,19.0012
129,108,21,15,13.12,36,2011,1,12.998
128,95,33,16,13.94,34,2011,1,12.998
83,54,29,17,13.12,36,2011,1,19.0012
84,69,15,18,12.3,45,2011,1,16.9979
74,60,14,19,13.12,39,2011,1,16.9979
41,35,6,20,13.12,39,2011,1,16.9979
57,51,6,21,13.12,39,2011,1,15.0013
26,26,0,22,12.3,42,2011,1,7.0015
44,39,5,23,12.3,45,2011,1,19.0012
39,33,6,0,10.66,56,2011,1,7.874928844
23,19,4,1,10.66,56,2011,1,8.9981
16,13,3,2,10.66,56,2011,1,6.0032
15,6,9,3,9.02,69,2011,1,9.053337219
1,1,0,4,10.66,56,2011,1,11.0014
2,1,1,5,10.66,56,2011,1,11.0014
1,1,0,6,10.66,56,2011,1,11.0014
3,3,0,7,9.84,56,2011,1,19.9995
18,18,0,8,9.02,55,2011,1,19.0012
32,29,3,9,9.02,51,2011,1,16.9979
79,71,8,10,9.02,51,2011,1,19.0012
93,70,23,11,9.84,44,2011,1,16.9979
104,75,29,12,9.84,41,2011,1,19.0012
118,95,23,13,10.66,35,2011,1,19.9995
91,69,22,14,11.48,36,2011,1,16.9979
113,78,35,15,10.66,38,2011,1,16.9979
99,77,22,16,9.84,38,2011,1,15.0013
105,82,23,17,9.02,37,2011,1,16.9979
67,56,11,18,8.2,40,2011,1,11.0014
61,47,14,19,7.38,47,2011,1,8.9981
57,50,7,20,7.38,47,2011,1,11.0014
28,22,6,21,7.38,51,2011,1,11.0014
21,19,2,22,8.2,49,2011,1,8.9981
18,18,0,23,8.2,40,2011,1,7.0015
17,16,1,0,8.2,47,2011,1,15.0013
16,15,1,1,8.2,44,2011,1,12.998
8,8,0,2,7.38,43,2011,1,16.9979
2,2,0,3,7.38,43,2011,1,12.998
3,2,1,4,7.38,43,2011,1,8.9981
1,1,0,5,7.38,43,2011,1,11.0014
5,5,0,6,7.38,43,2011,1,12.998
13,9,4,7,6.56,50,2011,1,8.9981
33,30,3,8,6.56,47,2011,1,15.0013
47,39,8,9,6.56,47,2011,1,15.0013
57,50,7,10,6.56,50,2011,1,16.9979
64,55,9,11,6.56,55,2011,1,12.998
80,70,10,12,7.38,47,2011,1,8.9981
93,80,13,13,7.38,47,2011,1,8.9981
86,74,12,14,7.38,43,2011,1,7.0015
93,72,21,15,8.2,47,2011,1,11.0014
82,76,6,16,8.2,47,2011,1,11.0014
71,67,4,17,8.2,51,2011,1,12.998
92,85,7,18,7.38,55,2011,1,16.9979
60,58,2,19,7.38,59,2011,1,12.998
33,29,4,20,6.56,80,2011,1,12.998
27,24,3,21,6.56,80,2011,1,12.998
13,13,0,22,5.74,93,2011,1,16.9979
4,3,1,23,6.56,86,2011,1,19.0012
3,3,0,12,8.2,86,2011,1,22.0028
22,22,0,13,8.2,86,2011,1,15.0013
28,26,2,14,9.02,80,2011,1,11.0014
35,32,3,15,9.02,87,2011,1,11.0014
61,61,0,16,9.02,87,2011,1,12.998
125,124,1,17,9.02,82,2011,1,12.998
133,132,1,18,9.02,80,2011,1,11.0014
99,98,1,19,9.02,80,2011,1,8.9981
83,83,0,20,9.02,87,2011,1,8.867520292
41,41,0,21,9.02,93,2011,1,7.0015
33,33,0,22,9.02,93,2011,1,6.0032
20,19,1,23,9.02,93,2011,1,8.860221786
3,3,0,0,9.02,93,2011,1,8.860221786
7,6,1,1,9.02,93,2011,1,8.9981
3,3,0,2,9.02,93,2011,1,8.9981
2,1,1,4,9.02,93,2011,1,8.9981
7,7,0,5,9.02,93,2011,1,6.0032
32,32,0,6,9.02,93,2011,1,6.0032
90,89,1,7,9.84,92,2011,1,7.0015
197,196,1,8,9.84,93,2011,1,7.0015
109,107,2,9,9.84,93,2011,1,7.0015
47,46,1,10,10.66,93,2011,1,8.9981
52,47,5,11,11.48,87,2011,1,6.0032
70,65,5,12,12.3,81,2011,1,6.0032
78,67,11,13,16.4,62,2011,1,19.0012
75,68,7,14,16.4,58,2011,1,16.9979
82,78,4,15,16.4,54,2011,1,19.0012
104,94,10,16,15.58,58,2011,1,26.0027
197,190,7,17,14.76,57,2011,1,22.0028
161,156,5,18,13.94,61,2011,1,19.0012
112,108,4,19,13.12,57,2011,1,27.9993
76,74,2,20,13.12,49,2011,1,19.9995
59,55,4,21,13.12,49,2011,1,27.9993
59,53,6,22,12.3,52,2011,1,11.0014
28,27,1,23,12.3,52,2011,1,31.0009
8,6,2,0,6.56,64,2011,1,7.0015
3,3,0,1,6.56,69,2011,1,7.0015
2,2,0,2,6.56,69,2011,1,8.909935789
2,2,0,3,6.56,69,2011,1,8.909935789
3,3,0,5,5.74,93,2011,1,8.073690522
22,22,0,6,5.74,93,2011,1,8.073690522
52,52,0,7,6.56,93,2011,1,6.949576225
135,132,3,8,6.56,93,2011,1,6.949576225
116,114,2,9,6.56,93,2011,1,10.09320768
47,47,0,10,6.56,93,2011,1,10.09320768
51,49,2,11,7.38,86,2011,1,9.790090035
55,53,2,12,8.2,86,2011,1,9.78313186
52,49,3,13,8.2,86,2011,1,9.78313186
54,49,5,14,9.02,80,2011,1,6.0032
52,45,7,15,9.84,75,2011,1,10.10532513
64,61,3,16,9.84,75,2011,1,8.9981
176,172,4,17,9.84,75,2011,1,10.10532513
168,165,3,18,9.84,81,2011,1,7.0015
108,105,3,19,9.84,81,2011,1,8.9981
74,69,5,20,9.02,87,2011,1,8.9981
64,64,0,21,9.02,87,2011,1,8.9981
36,34,2,22,9.02,87,2011,1,6.0032
16,15,1,23,8.2,93,2011,1,12.998
2,2,0,0,9.02,93,2011,1,7.0015
3,3,0,1,9.02,93,2011,1,12.998
4,0,4,2,9.02,93,2011,1,8.9981
1,1,0,3,9.02,93,2011,1,8.9981
1,1,0,4,9.02,93,2011,1,19.0012
3,3,0,5,9.02,93,2011,1,7.0015
18,17,1,6,9.02,93,2011,1,7.0015
49,48,1,7,9.02,93,2011,1,15.0013
155,154,1,8,9.02,93,2011,1,15.0013
123,119,4,9,9.84,93,2011,1,6.0032
61,59,2,10,9.02,100,2011,1,10.90162704
52,47,5,11,9.84,93,2011,1,12.998
64,61,3,12,9.84,93,2011,1,15.0013
75,74,1,13,13.94,93,2011,1,11.0014
63,61,2,14,15.58,82,2011,1,26.0027
76,66,10,15,15.58,76,2011,1,22.0028
103,95,8,16,14.76,71,2011,1,19.9995
190,183,7,17,14.76,53,2011,1,35.0008
182,175,7,18,13.94,42,2011,1,36.9974
91,88,3,19,11.48,45,2011,1,32.9975
75,71,4,20,9.84,48,2011,1,36.9974
63,62,1,21,9.02,47,2011,1,22.0028
40,35,5,22,9.02,44,2011,1,16.9979
32,29,3,23,8.2,44,2011,1,30.0026
12,11,1,0,8.2,40,2011,1,30.0026
5,5,0,1,8.2,44,2011,1,35.0008
2,2,0,2,7.38,43,2011,1,16.9979
1,1,0,3,7.38,43,2011,1,16.9979
2,2,0,5,6.56,50,2011,1,19.9995
39,39,0,6,6.56,43,2011,1,23.9994
87,86,1,7,5.74,50,2011,1,22.0028
188,184,4,8,5.74,50,2011,1,23.9994
133,127,6,9,6.56,47,2011,1,19.9995
52,50,2,10,7.38,43,2011,1,22.0028
64,55,9,11,7.38,43,2011,1,30.0026
69,67,2,12,8.2,40,2011,1,23.9994
51,47,4,13,8.2,40,2011,1,27.9993
47,43,4,14,9.02,37,2011,1,26.0027
60,56,4,15,9.02,37,2011,1,22.0028
78,73,5,16,9.02,37,2011,1,16.9979
175,170,5,17,8.2,40,2011,1,12.998
147,145,2,18,8.2,40,2011,1,11.0014
96,92,4,19,8.2,40,2011,1,6.931390311
109,108,1,20,8.2,47,2011,1,6.0032
54,53,1,21,7.38,55,2011,1,7.0015
41,39,2,22,7.38,51,2011,1,6.0032
38,34,4,23,8.2,47,2011,1,7.0015
13,10,3,0,8.2,44,2011,1,7.337562595
7,7,0,1,6.56,59,2011,1,7.028687211
1,1,0,2,5.74,63,2011,1,7.0015
1,1,0,3,5.74,63,2011,1,7.0015
7,7,0,5,5.74,63,2011,1,8.9981
28,26,2,6,6.56,55,2011,1,7.214139004
87,87,0,7,5.74,59,2011,1,7.713639912
220,217,3,8,5.74,74,2011,1,8.9981
127,124,3,9,6.56,80,2011,1,8.9981
51,46,5,10,8.2,51,2011,1,8.9981
64,61,3,11,9.02,51,2011,1,11.0014
86,78,8,12,9.84,48,2011,1,11.0014
82,73,9,13,10.66,50,2011,1,15.0013
91,76,15,14,11.48,45,2011,1,11.0014
90,81,9,15,11.48,48,2011,1,16.9979
99,91,8,16,12.3,42,2011,1,15.0013
205,195,10,17,10.66,56,2011,1,8.9981
155,152,3,18,9.84,60,2011,1,7.0015
103,102,1,19,9.84,65,2011,1,8.9981
71,69,2,20,9.84,65,2011,1,11.0014
43,41,2,21,9.84,70,2011,1,11.0014
46,45,1,22,9.84,65,2011,1,11.0014
31,30,1,23,9.84,70,2011,1,8.9981
39,36,3,0,9.84,70,2011,1,11.0014
18,17,1,1,9.84,65,2011,1,11.0014
17,12,5,2,9.84,75,2011,1,11.0014
11,10,1,3,9.84,75,2011,1,11.0014
8,8,0,4,9.02,93,2011,1,8.9981
9,9,0,5,8.2,100,2011,1,6.0032
4,4,0,6,8.2,100,2011,1,7.568981574
4,4,0,7,9.02,93,2011,1,6.0032
10,10,0,8,8.2,100,2011,1,6.0032
20,17,3,9,8.2,100,2011,1,6.0032
34,31,3,10,8.2,100,2011,1,8.9981
47,46,1,11,9.02,100,2011,1,8.9981
52,42,10,12,9.02,100,2011,1,11.0014
72,62,10,13,9.02,100,2011,1,11.0014
55,50,5,14,9.02,100,2011,1,8.035814152
60,49,11,15,9.02,100,2011,1,8.035814152
71,63,8,16,9.02,100,2011,1,8.9981
78,64,14,17,9.84,100,2011,1,19.0012
83,81,2,18,11.48,93,2011,1,30.0026
84,78,6,19,11.48,93,2011,1,30.0026
69,64,5,20,12.3,87,2011,1,16.9979
56,53,3,21,10.66,100,2011,1,12.998
45,43,2,22,10.66,93,2011,1,8.9981
59,52,7,23,10.66,93,2011,1,15.0013
39,37,2,0,10.66,70,2011,1,12.998
44,40,4,1,10.66,65,2011,1,27.9993
20,20,0,2,10.66,60,2011,1,22.0028
13,10,3,3,10.66,60,2011,1,6.0032
2,2,0,4,10.66,60,2011,1,23.9994
1,1,0,5,10.66,60,2011,1,15.0013
1,1,0,6,10.66,60,2011,1,15.0013
8,8,0,7,9.84,65,2011,1,11.0014
23,21,2,8,9.84,65,2011,1,7.0015
45,38,7,9,11.48,56,2011,1,7.0015
89,74,15,10,12.3,52,2011,1,16.9979
117,89,28,11,13.12,49,2011,1,16.9979
174,126,48,12,13.94,46,2011,1,13.30353845
182,135,47,13,13.94,46,2011,1,11.05778612
161,114,47,14,13.94,46,2011,1,6.0032
182,130,52,15,13.94,46,2011,1,6.0032
157,115,42,16,13.94,49,2011,1,7.0015
121,97,24,17,13.94,46,2011,1,11.05778612
78,65,13,18,12.3,56,2011,1,11.0014
21,20,1,19,11.48,61,2011,1,8.9981
26,21,5,20,11.48,61,2011,1,7.0015
27,22,5,21,10.66,60,2011,1,8.137031714
62,57,5,22,10.66,60,2011,1,8.137031714
30,26,4,23,9.84,65,2011,1,9.213814468
15,14,1,0,9.84,65,2011,1,9.213814468
5,4,1,1,9.02,75,2011,1,9.791621628
3,3,0,2,8.2,80,2011,1,9.678818005
1,1,0,3,8.2,86,2011,1,9.730891908
2,1,1,4,8.2,86,2011,1,9.730891908
10,9,1,5,8.2,86,2011,1,9.730891908
30,29,1,6,7.38,93,2011,1,9.61701228
